Hobby,Passion,Goal,Missions
"Reading,Writing,Sports,TV Shows,Journaling",Writing,"Publish books,Make products,Money","Exercise more,Learn a new sport,Practice technical skills,Learn Cooking,Build personal relationships,Read a book,Write a book"
"Meditation,Reading,Movies,Trekking,Jogging",Helping,"Money,Travel the world","Learn spiritual sciences,Practice technical skills,Read a book,Make a travel map,Help a charity"
Reading ,Writing,Difference Maker,Reading
,Coding,Hacker,"Practice coding,Learn new programming language"
"Reading,Writing,Socialising",,Peace,"Read a book,Build personal relationships,Do adventure sports"
"Writing,Reading,Yoga,Exercise,Music","Writing,Art","Publish books,Dentist","Write a book,Read a book,Exercise more"
Singing,,,Learn new style of signing
"Investment,Photography,Cricket,Boxing",Entrepreneurship,Start company,"Have brainstorming sessions for dream company,Learn Photography,Read a book"
"Reading,Music",Coding,Difference Maker,"Practice coding,Learn new programming language,Learn to play an instrument,Read a book,Learn something new"
"Basketball,Gaming,Reading",Content creation,"Money,Travel the world","Read a book,Practice Basketball,Create content in field of interest,Make a travel map"
"Exercise,Yoga,Coding,Netflix,Reading",Travelling,Start company,"Read a book,Have brainstorming sessions for dream company,Exercise more"
"Designing,Hackathons,Music",Content creation,Start company,"Practice coding,Have brainstorming sessions for dream company,Create content in field of interest"
"Martial arts,Music,Exercise",Martial arts,Difference Maker,"Learn to play an instrument,Exercise more,Build personal relationships,Learn something new"
"Cooking,Gardening",,Travel the world,"Learn Cooking,Plant a new tree,Make a travel map"
Travelling,Cricket,Travel the world,Make a travel map
"Music,Driving,Reading",Job,Doctor,"Read a book,Learn to play an instrument"
"Reading,Travelling",Job,Career Success,"Read a book,Make a travel map,Make career plan"
Music,,Money,"Make a travel map,Build personal relationships"
Making YouTube videos,Making things,Happiness,"Create content in field of interest,Take up a new project"
"Web Development,Coding,Gaming,Learning Languages",Coding,Make products,"Practice coding,Learn new programming language,Learn to play an instrument"
"Reading,Movies,Travelling",,,"Read a book,Make a travel map"
"Writing,Reading,Gaming,History,Psychology","Writing,Helping","Publish books,Clinical Psychologist","Read a book,Write a book,Help a charity"
Gaming,Learning new,Difference Maker,Learn something new
"Gaming,Writing,Music,Walking","Cars,Technology","Civil engineer,Time Management","Practice coding,Learn new programming language,Learn to play an instrument,Read a book,Write a book,Time management"
Exercise,Autosports,Difference Maker,"Practice coding,Learn new programming language,Time Management,Exercise more"
"3D Printing,Coding,Writing,Audiobooks,Watching YouTube",Making things,"Stability,Work on Passion","Practice coding,Learn new programming language,Write a book,Listen to a Audiobook,Take up a new project"
"Fishing,Cooking,Reading",Helping,"Graduate,Career Success","Build personal relationships,Learn Cooking,Read a book,Learn Leadership,Help a charity,Make career plan"
"Sports,Coding","Making things,Helping",Career Success,"Practice coding,Learn new programming language,Create content in field of interest,Exercise more,Learn a new sport,Take up a new project,Help a charity,Make career plan"
"Baking,Music","Baking,Makeup,Skincare",Business,"Learn to play an instrument,Learn Baking,Build personal relationships"
"Piano,Reading,Swimming","Learning new,Socialising","Money,Stability,Helping","Learn something new,Build personal relationships,Read a book,Help a charity"
"Reading,Gaming",Real Estate,Money,"Read a book,Build personal relationships,Learn Real Estate"
"Drawing,Painting,Trekking,Socialising",Art,"Happiness,Helping","Help a charity,Learn new form of Art"
"Gaming,Sports",Physics,Career Success,"Learn a new sport,Exercise more,Make career plan"
"Sports,Financial literacy,Self development,Exercise",Cricket,"Money,Athelete","Learn a new sport,Exercise more,Build personal relationships"
"Sports,Music,Cooking","Music,Coding,Sports",Stability,"Learn a new sport,Learn Cooking,Learn to play an instrument,Practice coding,Learn new programming language"
"Dancing,Reading",,,"Learn a new dance form,Read a book"
Travelling,Helping,Responsible,"Make a travel map,Help a charity,Time Management"
"Sports,Cooking,Gaming","Sports,Gaming",Career Success,"Make career plan,Learn a new sport,Learn Cooking"
Travelling,Sports,Money,"Make a travel map,Learn a new sport,Build personal relationships"